# Class,ClassFullyQualified Removed, ClassFullyQualified New
WidgetContainer,AndroidX.ConstraintLayout.Widget.Solver.Widgets.WidgetContainer,AndroidX.ConstraintLayout.Solver.Widgets.WidgetContainer
BasePreviewProgram,AndroidX.ExifInterface.Media.TV.BasePreviewProgram,AndroidX.TvProvider.Media.Tv.BasePreviewProgram
BaseProgram,AndroidX.ExifInterface.Media.TV.BaseProgram,AndroidX.TvProvider.Media.Tv.BaseProgram
Channel,AndroidX.ExifInterface.Media.TV.Channel,AndroidX.TvProvider.Media.Tv.Channel
ChannelLogoUtils,AndroidX.ExifInterface.Media.TV.ChannelLogoUtils,AndroidX.TvProvider.Media.Tv.ChannelLogoUtils
CollectionUtils,AndroidX.ExifInterface.Media.TV.CollectionUtils,AndroidX.TvProvider.Media.Tv.CollectionUtils
PreviewChannel,AndroidX.ExifInterface.Media.TV.PreviewChannel,AndroidX.TvProvider.Media.Tv.PreviewChannel
PreviewChannelHelper,AndroidX.ExifInterface.Media.TV.PreviewChannelHelper,AndroidX.TvProvider.Media.Tv.PreviewChannelHelper
PreviewProgram,AndroidX.ExifInterface.Media.TV.PreviewProgram,AndroidX.TvProvider.Media.Tv.PreviewProgram
Program,AndroidX.ExifInterface.Media.TV.Program,AndroidX.TvProvider.Media.Tv.Program
TvContractCompat,AndroidX.ExifInterface.Media.TV.TvContractCompat,AndroidX.TvProvider.Media.Tv.TvContractCompat
TvContractUtils,AndroidX.ExifInterface.Media.TV.TvContractUtils,AndroidX.TvProvider.Media.Tv.TvContractUtils
WatchNextProgram,AndroidX.ExifInterface.Media.TV.WatchNextProgram,AndroidX.TvProvider.Media.Tv.WatchNextProgram
BundledEmojiCompatConfig,AndroidX.Emoji.Text.Bundled.BundledEmojiCompatConfig,AndroidX.Emoji.Bundled.BundledEmojiCompatConfig
EditTextAttributeHelper,AndroidX.Emoji.Text.Widget.EditTextAttributeHelper,AndroidX.Emoji.Widget.EditTextAttributeHelper
EmojiAppCompatButton,AndroidX.Emoji.Text.Widget.EmojiAppCompatButton,AndroidX.Emoji.Widget.EmojiAppCompatButton
EmojiAppCompatEditText,AndroidX.Emoji.Text.Widget.EmojiAppCompatEditText,AndroidX.Emoji.Widget.EmojiAppCompatEditText
EmojiAppCompatTextView,AndroidX.Emoji.Text.Widget.EmojiAppCompatTextView,AndroidX.Emoji.Widget.EmojiAppCompatTextView
EmojiButton,AndroidX.Emoji.Text.Widget.EmojiButton,AndroidX.Emoji.Widget.EmojiButton
EmojiEditText,AndroidX.Emoji.Text.Widget.EmojiEditText,AndroidX.Emoji.Widget.EmojiEditText
EmojiEditTextHelper,AndroidX.Emoji.Text.Widget.EmojiEditTextHelper,AndroidX.Emoji.Widget.EmojiEditTextHelper
EmojiExtractEditText,AndroidX.Emoji.Text.Widget.EmojiExtractEditText,AndroidX.Emoji.Widget.EmojiExtractEditText
EmojiExtractTextLayout,AndroidX.Emoji.Text.Widget.EmojiExtractTextLayout,AndroidX.Emoji.Widget.EmojiExtractTextLayout
EmojiTextView,AndroidX.Emoji.Text.Widget.EmojiTextView,AndroidX.Emoji.Widget.EmojiTextView
EmojiTextViewHelper,AndroidX.Emoji.Text.Widget.EmojiTextViewHelper,AndroidX.Emoji.Widget.EmojiTextViewHelper
ExtractButtonCompat,AndroidX.Emoji.Text.Widget.ExtractButtonCompat,AndroidX.Emoji.Widget.ExtractButtonCompat
SpannableBuilder,AndroidX.Emoji.Text.Widget.SpannableBuilder,AndroidX.Emoji.Widget.SpannableBuilder
EditorInfoCompat,AndroidX.Core.View.Inputmethod.EditorInfoCompat,AndroidX.Core.View.InputMethod.EditorInfoCompat
InputConnectionCompat,AndroidX.Core.View.Inputmethod.InputConnectionCompat,AndroidX.Core.View.InputMethod.InputConnectionCompat
InputContentInfoCompat,AndroidX.Core.View.Inputmethod.InputContentInfoCompat,AndroidX.Core.View.InputMethod.InputContentInfoCompat
ActivityCompat,AndroidX.Legacy.App.ActivityCompat,AndroidX.Core.App.ActivityCompat
ActivityManagerCompat,AndroidX.Legacy.App.ActivityManagerCompat,AndroidX.Core.App.ActivityManagerCompat
ActivityOptionsCompat,AndroidX.Legacy.App.ActivityOptionsCompat,AndroidX.Core.App.ActivityOptionsCompat
AlarmManagerCompat,AndroidX.Legacy.App.AlarmManagerCompat,AndroidX.Core.App.AlarmManagerCompat
AppComponentFactory,AndroidX.Legacy.App.AppComponentFactory,AndroidX.Core.App.AppComponentFactory
AppLaunchChecker,AndroidX.Legacy.App.AppLaunchChecker,AndroidX.Core.App.AppLaunchChecker
AppOpsManagerCompat,AndroidX.Legacy.App.AppOpsManagerCompat,AndroidX.Core.App.AppOpsManagerCompat
BundleCompat,AndroidX.Legacy.App.BundleCompat,AndroidX.Core.App.BundleCompat
CoreComponentFactory,AndroidX.Legacy.App.CoreComponentFactory,AndroidX.Core.App.CoreComponentFactory
DialogFragment,AndroidX.Legacy.App.DialogFragment,AndroidX.Fragment.App.DialogFragment
Fragment,AndroidX.Legacy.App.Fragment,AndroidX.Fragment.App.Fragment
FragmentActivity,AndroidX.Legacy.App.FragmentActivity,AndroidX.Fragment.App.FragmentActivity
FragmentContainer,AndroidX.Legacy.App.FragmentContainer,AndroidX.Fragment.App.FragmentContainer
FragmentController,AndroidX.Legacy.App.FragmentController,AndroidX.Fragment.App.FragmentController
FragmentHostCallback,AndroidX.Legacy.App.FragmentHostCallback,AndroidX.Fragment.App.FragmentHostCallback
FragmentManager,AndroidX.Legacy.App.FragmentManager,AndroidX.Fragment.App.FragmentManager
FragmentManagerNonConfig,AndroidX.Legacy.App.FragmentManagerNonConfig,AndroidX.Fragment.App.FragmentManagerNonConfig
FragmentPagerAdapter,AndroidX.Legacy.App.FragmentPagerAdapter,AndroidX.Fragment.App.FragmentPagerAdapter
FragmentStatePagerAdapter,AndroidX.Legacy.App.FragmentStatePagerAdapter,AndroidX.Fragment.App.FragmentStatePagerAdapter
FragmentTabHost,AndroidX.Legacy.App.FragmentTabHost,AndroidX.Fragment.App.FragmentTabHost
FragmentTransaction,AndroidX.Legacy.App.FragmentTransaction,AndroidX.Fragment.App.FragmentTransaction
